message_id,tweet_id,conversation_id,stratum,gold_intent,gold_action,quality_of_historical_reply,confidence,ambiguous,note,guideline_version,label_date,prelabel_intent,prelabel_action,reviewed,label_source
g001,1896463,1896463,random,account_access,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_access,escalate,false,gpt-5.4-prelabel
g002,2916670,2916670,random,playback_technical,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,playback_technical,auto_handle,false,gpt-5.4-prelabel
g003,1855980,1855980,random,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g004,1139909,1139909,random,playback_technical,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,playback_technical,auto_handle,false,gpt-5.4-prelabel
g005,73753,73753,random,account_access,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_access,escalate,false,gpt-5.4-prelabel
g006,1812482,1812482,random,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g007,539176,539176,random,catalog_content,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,catalog_content,auto_handle,false,gpt-5.4-prelabel
g008,131812,131812,random,playback_technical,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,playback_technical,auto_handle,false,gpt-5.4-prelabel
g009,438424,438424,random,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g010,540352,540352,random,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g011,30116,30116,random,availability_pricing_question,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,availability_pricing_question,auto_handle,false,gpt-5.4-prelabel
g012,2028724,2028724,random,library_lost,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,library_lost,auto_handle,false,gpt-5.4-prelabel
g013,2931615,2931615,random,catalog_content,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,catalog_content,auto_handle,false,gpt-5.4-prelabel
g014,596350,596350,random,billing_payment,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,billing_payment,escalate,false,gpt-5.4-prelabel
g015,1689793,1689793,random,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g016,2909874,2909874,random,account_access,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_access,escalate,false,gpt-5.4-prelabel
g017,1855143,1855143,random,non_support,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,non_support,escalate,false,gpt-5.4-prelabel
g018,1900199,1900199,random,catalog_content,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,catalog_content,auto_handle,false,gpt-5.4-prelabel
g019,199129,199129,random,non_support,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,non_support,escalate,false,gpt-5.4-prelabel
g020,1659930,1659930,random,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g021,1067220,1067220,random,catalog_content,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,catalog_content,auto_handle,false,gpt-5.4-prelabel
g022,447881,447881,random,account_access,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_access,escalate,false,gpt-5.4-prelabel
